StatLevel/internal05,Greater Yang
PlayerTalent/Name/9202,Monkey King's Wind Return
PlayerTalent/Desc/9201,[Duel] Deal damage based on combo hits.
PlayerTalent/Name/9201,Yuan Wang Splitting Mountain
PlayerTalent/Desc/9200,"[Duel] When one's spirit exceeds that of their opponent, hidden weapons transform into [strike‑point thimbles]."
PlayerTalent/Name/9200,Acupoint Striking and Threading
PlayerTalent/Desc/9113,[Duel] Can block fatal attacks and recover stamina.
PlayerTalent/Name/9113,Vow of Growing Old Together
PlayerTalent/Desc/9112,[ Duel ] Can block fatal attacks and restore full health.
PlayerTalent/Name/9112,Nine Cycles of Reincarnation
PlayerTalent/Desc/9111,Nirvana Samadhi
PlayerTalent/Name/9111,Nirvana Samadhi
PlayerTalent/Desc/9110,Weapon damaged
PlayerTalent/Name/9110,Weapon damaged
PlayerTalent/Desc/9109,"[Duel] Based on their combat strategy skill level, there is a higher chance of discerning their opponent's intentions."
PlayerTalent/Name/9109,Tactical guidance
PlayerTalent/Desc/9108,Snow Mountain Heart Method
PlayerTalent/Name/9108,Snow Mountain Heart Method
PlayerTalent/Desc/9107,Xuan Huang Na Xin Gang
PlayerTalent/Name/9107,Xuan Huang Na Xin Gang
PlayerTalent/Desc/9106,Inner strength significantly diminished
PlayerTalent/Name/9106,Meridian blockage
PlayerTalent/Desc/9105,"[ Duel ] There is a 10% chance for it to occur, causing them to forget who they are and why they are there, rendering them unable to move."
PlayerTalent/Name/9105,Lost in thought
PlayerTalent/Desc/9104,[Duel] Can block fatal attacks and recover stamina.
PlayerTalent/Name/9104,Nangong Heart Protection Technique
PlayerTalent/Desc/9103,Great Flame Divine Skill
PlayerTalent/Name/9103,Great Convergence Divine Skill
PlayerTalent/Desc/9102,[Duel] Kongtong's Iron Zither Technique.
PlayerTalent/Name/9102,Iron Pipa Skill
PlayerTalent/Desc/9100,"[Battle Duel] Based on rank, the effectiveness of enhanced tactical skills is improved."
PlayerTalent/Name/9100,Tactics
PlayerTalent/Desc/9000,No bath taken
PlayerTalent/Name/9000,No bath taken
PlayerTalent/Desc/8128,"[Fight to the Death] When the combo count exceeds 3, the ultimate technique becomes [Third Extremity]."
PlayerTalent/Name/8128,Sword Saint's Third Apex Technique
PlayerTalent/Desc/8127,"[Fight to the Death] When the combo count exceeds 3, the ultimate technique becomes [Second Extreme Technique]."
PlayerTalent/Name/8127,Sword Saint's Second Apex Technique
PlayerTalent/Desc/8126,"[Battle Duel] When the consecutive hits exceed 3, the ultimate technique becomes [First Extreme Technique]."
PlayerTalent/Name/8126,The First Ultimate Technique of the Sword Saint
PlayerTalent/Desc/8125,"[Battle Duel] When supporting a companion, all attributes increase. Furthermore, when the combo count exceeds 2, the ultimate technique changes to [Tongzhou Jianfa]. The ability to use [Dian Po Yun Guan] is also unavailable."
PlayerTalent/Name/8125,Tongzhou Sword Technique
PlayerTalent/Desc/8121,"[Fight] Level II and above, when the consecutive hit count is greater than 3, the ultimate technique becomes Wind Thunder Divine Foot."
PlayerTalent/Name/8121,Wind Thunder God Foot
PlayerTalent/Desc/8119,"[Battle Duel] Realm three and above, ultimate moves become [Heavenly Wielder's Suppression of Demons Sword]."
PlayerTalent/Name/8119,Heavenly Gang Subduing Demon Sword
PlayerTalent/Desc/8113,"[Fight] For levels three and above in the Boundary realm, the ultimate technique becomes the Ultimate Shadow Assault."
PlayerTalent/Name/8113,Shadowless Surprise Attack
PlayerTalent/Desc/8112,"[Duel] Beyond Boundary Level 2, the ultimate move becomes 'Taibai Immortal's Footsteps'."
PlayerTalent/Name/8112,Taibai Immortal Footprints
PlayerTalent/Desc/8111,"[Battle Duel] Beyond Level Three, the ultimate technique becomes 'Divine Thunder.'"
PlayerTalent/Name/8111,Divine Thunder
PlayerTalent/Desc/8108,"[Duel] Beyond Level Two, the ultimate technique becomes [Iron Arm Flying Fist]."
PlayerTalent/Name/8108,Iron Arm Flying Fist
PlayerTalent/Desc/8106,"[Duel] Above Level Two, the ultimate technique becomes [Yinyang Duo]."
PlayerTalent/Name/8106,Yin and Yang Theft
PlayerTalent/Desc/8103,"[Battle Duel] When the combo count exceeds 2, the ultimate move becomes [Piercing Through the Veil]."
PlayerTalent/Name/8103,Breakthrough of Cloud Pass
PlayerTalent/Desc/8101,"[Fight] Beyond Level Two, the ultimate technique becomes [Yunxiao Thunderstorm Blade]."
PlayerTalent/Name/8101,Thunderbolt Blade
PlayerTalent/Desc/8004,"[Duel] For levels above Boundary Three, hidden weapons transform into the [Diamond God Spear Technique]."
PlayerTalent/Name/8004,Vajra Divine Spear Technique
PlayerTalent/Desc/8003,"[Fight] Beyond Level Three, hidden weapons transform into Flying Swallow Meteor Feathers."
PlayerTalent/Name/8003,Flying Swallow Meteor Feather
PlayerTalent/Desc/8002,"[Duel] When a hidden weapon hits, it causes significant paralysis accumulation."
PlayerTalent/Name/8002,Money Dart
PlayerTalent/Desc/8001,[Duel] The Little Junior Sister's unique martial arts technique.
PlayerTalent/Name/8001,Heaven and Earth Silent Power
PlayerTalent/Desc/7010,[Fight] There is a chance to cause [Fear] to timid individuals every round.
PlayerTalent/Name/7010,Hell Messenger
PlayerTalent/Desc/7008,"[Fight] Based on the current combo count, attacks have an additional chance to cause [imbalance]."
PlayerTalent/Name/7008,Wave Riding Technique
PlayerTalent/Desc/7007,"[Duel] When the attribute is yang, accumulate a certain amount of [Poison] value each turn and recover [Qi]."
PlayerTalent/Name/7007,Heartburn Seal
PlayerTalent/Desc/7001,[Fight] All attacks have a 40% chance to cause [Burn].
PlayerTalent/Name/7001,Fire Sweeping Dust
PlayerTalent/Desc/6011,"[Duel] When stabbing someone, there's an additional 50% chance of applying poison, with the effect stacking."
PlayerTalent/Name/6011,Poison Skill
PlayerTalent/Desc/6008,"[Duel] When taking damage, inflict poison and paralyze on the opponent."
PlayerTalent/Name/6008,Ten Thousand Longevity Corpse Blood Needle
PlayerTalent/Desc/6001,[Duel] Our stamina depletion value increases each round.
PlayerTalent/Name/6001,Soft Fragrance
PlayerTalent/Desc/6000,"[Duel] Each turn, both sides increase their toxicity level."
PlayerTalent/Name/6000,Fragrant Shore
PlayerTalent/Desc/5000,Can understand white shark speech
PlayerTalent/Name/5000,Bai shahou speaks
PlayerTalent/Desc/4104,"[ Duel ] When receiving a fatal attack, survive with 10% health remaining."
PlayerTalent/Name/4104,Perseverance
PlayerTalent/Desc/4103,"[Duels] When the duel begins, the energy ‑10 increases the mouth power by 100%."
PlayerTalent/Name/4103,Bluffing
PlayerTalent/Desc/4100,"[Duel] Without adhering to martial ethics, the duel begins with a sudden discharge of hidden weapons, causing harm and increasing the likelihood of angering the opponent."
PlayerTalent/Name/4100,A hidden arrow injures a person
PlayerTalent/Desc/4018,[Duel] The Defeat Fiber Technique becomes ineffective when there is a loss of balance.
PlayerTalent/Name/4018,Defeated Threads Skill
PlayerTalent/Desc/4014,"[Duel] According to the skill 'Tactics', this boosts verbal prowess."
PlayerTalent/Name/4014,Mysterious as the Yin
PlayerTalent/Desc/4013,[Battle Duel] Damage increases according to the skill level in Tactics.
PlayerTalent/Name/4013,Invasion like a blazing fire
PlayerTalent/Desc/4012,"[Duel] According to the skill 'Tactics,' gain additional energy points per round."
PlayerTalent/Name/4012,Xu Rulin
PlayerTalent/Desc/4011,"[Duel] According to the skill 'Tactics', Qinggong is enhanced."
PlayerTalent/Name/4011,As swift as the wind
PlayerTalent/Desc/4010,"[Duel] When using their ultimate technique, they also apply an 'Shock' effect."
PlayerTalent/Name/4010,Move like a thunderclap
PlayerTalent/Desc/3112,[Duel] Attack critical dice +10.
PlayerTalent/Name/3112,Shadowless Claw
PlayerTalent/Desc/3107,"[Duel] When the current mind state is below the median, each 1 points increase attack power by 1%."
PlayerTalent/Name/3107,Sorrowful Fist
PlayerTalent/Desc/3105,"[Duel] Rank Three and above, activate 'Sword Realm'."
PlayerTalent/Name/3105,Sword Realm
PlayerTalent/Desc/3104,"[Duels] Beyond Stage One, achieving 'Transcendence' is unlocked. Afterward, advancing in stage will also enhance the effects of Transcendence."
PlayerTalent/Name/3104,Axis Locking Heaven Gate
PlayerTalent/Desc/3103,"[Duel] In the first round of the duel, the attack power is 3 times."
PlayerTalent/Name/3103,Swift Meteor Sword
PlayerTalent/Desc/3102,"[Duel] Based on rank, the duel begins with a default consecutive hit advantage and additional energy."
PlayerTalent/Name/3102,Mind War
PlayerTalent/Desc/3100,[Duels] The opponent's strength affects one's attributes.
PlayerTalent/Name/3100,Bullying the weak and fearing the strong
PlayerTalent/Desc/3004,[Duel] Additional initial energy points are added.
PlayerTalent/Name/3004,Courage
PlayerTalent/Desc/3003,"[Duel] When you hit someone, gain Flowing Like Clouds and Water."
PlayerTalent/Name/3003,Flowing Clouds and Flowing Water
PlayerTalent/Desc/3002,"[ Duel ] According to Blade Sword 50%, boost Qinggong, Inner Power, and initial Qi."
PlayerTalent/Name/3002,A journey of a thousand miles leaves no trace.
PlayerTalent/Desc/3001,"[Duel] According to Inner Power, enhance Qinggong."
PlayerTalent/Name/3001,Build up your energy to lighten your body
PlayerTalent/Desc/3000,[Fight] According to the improvement of Qinggong for Blade and Sword.
PlayerTalent/Name/3000,Diancang Quick Sword Technique
PlayerTalent/Desc/2111,"When the Qi 20 level is above, the preparation for the duel transforms into [Withering and Flourishing Divine Skill]."
PlayerTalent/Name/2111,Withering and Flourishing Divine Skill
PlayerTalent/Desc/2110,"[ Duel ] When the combo count exceeds 2, the attack becomes [Origin]."
PlayerTalent/Name/2110,Return to Origin
PlayerTalent/Desc/2109,"[Fight] When initiating a battle, consume all combo points to gain additional qi."
PlayerTalent/Name/2109,Ten Thousand Swords Return to the Sect
PlayerTalent/Desc/2108,"[Duel] During the preparation phase, activating the mechanism will remove all hidden weapons. In the next duel, the damage from hidden weapons will increase."
PlayerTalent/Name/2108,Iron Chessboard
PlayerTalent/Desc/2105,"[Duel] There is a 30% chance to perform [Ruyi Realm] each round, enhancing punches and palm strikes."
PlayerTalent/Name/2105,As if in Accordance with Will Scenario
PlayerTalent/Desc/2104,"[Duel] During the fight, there is a chance to catch hidden weapons based on skill level."
PlayerTalent/Name/2104,Flower‑folded Hands
PlayerTalent/Desc/2103,"[ Duel ] Boundary II and above, the strike transforms into [One‑Finger Zen]."
PlayerTalent/Name/2103,One Toe Divine Skill
PlayerTalent/Desc/2102,"[Duels] After successfully landing a beat, gain Xianhe Mizhen."
PlayerTalent/Name/2102,Immortal Crane Lost Trace Steps
PlayerTalent/Desc/2101,"[ Duel ] Prior to the fight, health recovers based on level. Additionally, toxin accumulation is metabolized."
PlayerTalent/Name/2101,Medicine
PlayerTalent/Desc/2100,"[Duel] During preparation, metabolism of the paralyzing toxin accelerates according to rank."
PlayerTalent/Name/2100,Fortune invigorates the blood flow
PlayerTalent/Desc/2030,"[ Duel ] When the energy level exceeds 20, the attack command changes to limewater."
PlayerTalent/Name/2030,Lime powder
PlayerTalent/Desc/2020,"[Duel] Prepare with poison, gaining a Concentrated Poison that enhances the next use of a Hidden Weapon."
PlayerTalent/Name/2020,Purified Poison
PlayerTalent/Desc/2010,"[ Duel ] When the qi level exceeds 20, the mouth attack command changes to 'Nuclear Walnut Nail.'"
PlayerTalent/Name/2010,Jujube Pit Nail
PlayerTalent/Desc/1209,"[Fight] Above Boundary Level Two, stabbing techniques change to [Snow Mountain Flying Swallow Claws]."
PlayerTalent/Name/1209,Snow Mountain Flying Swan Claw
PlayerTalent/Desc/1207,[Liu E's Dueling Skill] Replaces Stabbing.
PlayerTalent/Name/1207,Sword Offense
PlayerTalent/Desc/1206,"[Fight] For Level 2 and above in the Realm, stabbing attacks change into [Soul Stealer Phantom Claws]."
PlayerTalent/Name/1206,Soul‑Stealer Phantom Claw
PlayerTalent/Desc/1205,"In a duel, if avoidance is successful, the stab command changes to [counterattack]."
PlayerTalent/Name/1205,Backhand Punch
PlayerTalent/Desc/1203,"[Duels] A stinger command will not be interrupted by a hidden weapon, but the damage taken is reduced by +50%."
PlayerTalent/Name/1203,Bravery
PlayerTalent/Desc/1202,[Duel] Gain 'Wavesurge Blade Art' when hitting an opponent.
PlayerTalent/Name/1202,Surging Wave Blade Technique
PlayerTalent/Desc/1201,"[Duel] Lock all commands and unconditionally use Dog Punch, stacking with Frenzy."
PlayerTalent/Name/1201,Extreme Dog Punch
PlayerTalent/Desc/1200,"[Fight] When the enemy's vitality is lower than yours, gain the Fist of Beat Up Dog ability."
PlayerTalent/Name/1200,Dog Punch
PlayerTalent/Desc/1107,"[Duels] For Boundary 2 and above, mouth attack is called 'Tiger Roar.'"
PlayerTalent/Name/1107,Tiger Howl Skill
PlayerTalent/Desc/1106,"[ Duel ] Beyond Level Two, mouth attack transforms into 'Lion Roar Technique'."
PlayerTalent/Name/1106,Lion's Roar Skill
PlayerTalent/Desc/1105,"[ Duel ] Above Level Two, mouth attacks become 'Blue Dragon Roar'."
PlayerTalent/Name/1105,Dragon's Roar Technique
PlayerTalent/Desc/1103,"[Duel] When angered, he no longer stabs people but attacks verbally, spraying out fiery breath instead."
PlayerTalent/Name/1103,Fiery Zen
PlayerTalent/Desc/1102,"[Battle Duel] When the opponent has the [Anger] condition, activate."
PlayerTalent/Name/1102,Mencius said
PlayerTalent/Desc/1101,[Duel] The effect increases with consecutive verbal attacks.
PlayerTalent/Name/1101,Those who are in the right do not spare others.
PlayerTalent/Desc/1100,"[ Duel ] When attacking an enemy with abnormal conditions using mouth attacks, the chance to anger them is higher."
PlayerTalent/Name/1100,Adding insult to injury
PlayerTalent/Desc/1012,"[ Duel ] According to the techniques of punches and palm strikes, improve qinggong and defense."
PlayerTalent/Name/1012,Diamond Leg
PlayerTalent/Desc/1011,[Duel] Defense is improved according to the skill 'Tactics'.
PlayerTalent/Name/1011,Steadfast as a mountain
PlayerTalent/Desc/1010,"[Duel] When the qi level exceeds 20, the command for the beat instruction changes to 'Golden Bell Robe.'"
PlayerTalent/Name/1010,Golden Bell Shield
PlayerTalent/Desc/1002,[Fight] Defense improves according to physical strength.
PlayerTalent/Name/1002,Iron Clothes Fist
PlayerTalent/Desc/1001,"[Duel] All damage is increased by 50%, and received damage is increased by 10%.)"
PlayerTalent/Name/1001,Arrogance
PlayerTalent/Desc/0037,"[Fight] When causing damage, additional chi damage is applied based on the number of consecutive hits."
PlayerTalent/Name/0037,Inspiritingly aggressive
PlayerTalent/Desc/0036,"In a duel, successfully dodging recovers chi based on rank."
PlayerTalent/Name/0036,Harnessing the momentum
PlayerTalent/Desc/0035,[Duels] Increase all damage by Six‑Dimensional Enhancement.
PlayerTalent/Name/0035,Long Yuan Seven Absolutes
PlayerTalent/Desc/0027,"[Duel] According to fist and palm techniques, Qinggong enhances defense."
PlayerTalent/Name/0027,Condensed Power Phase
PlayerTalent/Desc/0026,"[Duel] The lower the morality, the more critical hit dice."
PlayerTalent/Name/0026,There are no limits to being a person.
PlayerTalent/Desc/0025,"[Fight] According to cultivation, the amount of qi force increases every round."
PlayerTalent/Name/0025,Master's demeanor
PlayerTalent/Desc/0021,"[Duel] Defense: +60%, Qinggong: ‑30%, when taking an attacking action, the character will suffer moderate damage."
PlayerTalent/Name/0021,Ultimate Shoulder Armor
PlayerTalent/Desc/0020,"[Duel] Defense: +40%, Qinggong: ‑20%.)"
PlayerTalent/Name/0020,Luxurious Shoulder Armor
PlayerTalent/Desc/0019,"[Duel] Defense: +20%, Qinggong: ‑10."
PlayerTalent/Name/0019,Shoulder Armor
PlayerTalent/Desc/0017,"[Duel] According to the enhancement of weapons by hidden weapons, increase the critical hit dice."
PlayerTalent/Name/0017,"A Thousand Mechanisms, Ever Changing"
PlayerTalent/Desc/0015,[Battle] They can perform the Golden Armor technique.
PlayerTalent/Name/0015,Invincible Golden Body
PlayerTalent/Desc/0014,[Fight to the Death] All attributes are increased based on proficiency in Cheng Style Boxing.
PlayerTalent/Name/0014,Emei Nineteen Stakes
PlayerTalent/Desc/0013,"[Combat] According to the enhancement of blade and sword, the fist techniques are refined."
PlayerTalent/Name/0013,Mind Sword
PlayerTalent/Desc/0012,"[Duel] According to Qinggong, the Fist and Palm skills gain a dodging chance."
PlayerTalent/Name/0012,Agility of the White Monkey
PlayerTalent/Desc/0011,"[Duel] According to Daoist principles, enhance internal power."
PlayerTalent/Name/0011,Qi Cultivation Supernatural Power
PlayerTalent/Desc/0010,[Duel] Gain additional recovery of Qi based on your upper limit of Qi.
PlayerTalent/Name/0010,Refining the Soul to Emptiness
PlayerTalent/Desc/0009,"[Fight] According to inner strength, increase the limit of qi."
PlayerTalent/Name/0009,Qi Refining and Soul Formation
PlayerTalent/Desc/0008,"[Fight] According to strength, one enhances their inner power."
PlayerTalent/Name/0008,Refine the Essence into Qi
PlayerTalent/Desc/0007,"[Duel] Enhance internal power based on the refined studies of Confucianism, Taoism, and Buddhism."
PlayerTalent/Name/0007,Three Teachings Unification
PlayerTalent/Desc/0006,"[Fight] According to strength, one enhances their inner power."
PlayerTalent/Name/0006,Quanzhen Gymnastics
PlayerTalent/Desc/0005,"[ Duel ] When cultivation, temperament, and worldliness are all moderate, it enhances both final damage and damage reduction."
PlayerTalent/Name/0005,Gentleman's Style
PlayerTalent/Desc/0004,[Duel] Boost poison damage and accumulate paralysis effects.
PlayerTalent/Name/0004,Tang Clan Poison Techniques
PlayerTalent/Desc/0003,"[Duel] Enhance hidden weapon hit rate, damage, and critical roll."
PlayerTalent/Name/0003,Tang Clan Hidden Weapon
PlayerTalent/Desc/0002,"[Duel] Use stabbing, Hidden Weapon command, activate 'Hidden Weapon' effect additionally."
PlayerTalent/Name/0002,Extra Hidden Weapon
PlayerTalent/Desc/0001,[Duel] Increases all damage mitigation.
PlayerTalent/Name/0001,Strengthen defense
PlayerTalent/Desc/0000,"You have become slightly more palatable to your own eyes (just a little bit), but you inevitably reveal your true nature when emotions are running high."
PlayerTalent/Name/0000,Narcissism
PlayerTalent/Format/LevelMax,Skill [{0}] level has reached its maximum
PlayerTalent/Format/LevelDown,Skill level {0} decreases to {1}
PlayerTalent/Format/LevelUp,Skill {0} level rises to {1}
PlayerTalent/Format/Remove,Skill {0} Vanish
PlayerTalent/Format/New,Skill {0} Awakens
Story/D_S0702_01_03_Break_01_221,"My friend Aseng, take care"
Story/D_S0702_01_03_Break_01_220,"My friend A'Huo, we bid each other farewell here."
Story/D_S0702_01_03_Break_01_219,You know the same applies to you
Story/D_S0702_01_03_Break_01_218,"The future is uncertain, but in any case, I want to say thanks first."
Story/D_S0702_01_03_Break_01_217,Forever friends!
Story/D_S0702_01_03_Break_01_216,"Alright, Ahsheng, we'll fight if we must..."
Story/D_S0702_01_03_Break_01_215,"Thanks to you, there is no longer a trace of gloom in my heart. A'Huo, we shall see each other on the day of our decisive battle."
Story/D_S0702_01_03_Break_01_214,"The Sword Manual will be passed to you. In case I perish in battle, you will be the sole successor of the Guyun Mountain Sect; please preserve and pass it on."
Story/D_S0702_01_03_Break_01_213,That's your business. There are limits to letting you fall behind. I won't wait for you in place. You have to pick up the pace and catch up on your own.
Story/D_S0702_01_03_Break_01_212,"Joking aside, in terms of true skill, how could I compare to you."
Story/D_S0702_01_03_Break_01_211,You flatter me; I dare not accept it.
Story/D_S0702_01_03_Break_01_210,"Of course you are the general, even if you say that Tang Third Hero is the general, at least you are the officer."
Story/D_S0702_01_03_Break_01_209,"Ha ha! Yes, exactly how Tang Clan should be."
Story/D_S0702_01_03_Break_01_208,"So I am an outsider, not bound by your rules, making it hardest to guard against. You must be cautious."
Story/D_S0702_01_03_Break_01_207,I didn't say that at all! Chess doesn't have a chess piece called ugly!
Story/D_S0702_01_03_Break_01_206,I am just the ugly one playing black stones...?
Story/D_S0702_01_03_Break_01_205,Compare us to chess‑You are not merely a pawn. If I were the red‑sided general‑the
Story/D_S0702_01_03_Break_01_204,"You really think too highly of me. You are the leader, I am just a lowly soldier."
Story/D_S0702_01_03_Break_01_203,"At that time, our dual heroes will have a peak confrontation, a Swordsmanship Debate in Meishan."
Story/D_S0702_01_03_Break_01_202,"I am the Alliance Leader of the Wulin, and you must represent the Western Wulin Alliance as well. At that time, we shall have our dual peak confrontation on Meishan for swordsmanship deliberation."
Story/D_S0702_01_03_Break_01_201,You......
Story/D_S0702_01_03_Break_01_200,"Sure, I broke the rules, so what of it? I learned from you anyway, ha ha ha!"
Story/D_S0702_01_03_Break_01_199,You are giving me this? The martial arts of the Gugu Mountain School aren't passed down in a single line?
Story/D_S0702_01_03_Break_01_198,"This is the founding martial art of the Solitary Cloud Mountain School, the only copy we possess. It not only emphasizes natural talent but also fate. Seize the time and learn quickly."
Story/D_S0702_01_03_Break_01_197,"A'Huo, although I cannot stand with you, this I can give you. Accept it."
Story/D_S0702_01_03_Break_01_196,That is indeed so
Story/D_S0702_01_03_Break_01_195,"At least we've traveled together for a while, and it wasn't bad."
Story/D_S0702_01_03_Break_01_194,But they ultimately took different paths
Story/D_S0702_01_03_Break_01_193,"Of course not the face, but the original intention."
Story/D_S0702_01_03_Break_01_192,"We are very alike, right? If I were to say that out loud, it would certainly anger many people. Do you believe me?"
Story/D_S0702_01_03_Break_01_191,"We might be a lot alike, you know."
Story/D_S0702_01_03_Break_01_190,"Go complain to the authorities, it's not like I did this."
Story/D_S0702_01_03_Break_01_189,"...If only the Wulin could stick to the Wulin and the Imperial Court could stick to the Imperial Court, things would always be simple."
Story/D_S0702_01_03_Break_01_188,"With the lessons of the past, in the future, the heroic figures of the vast land of China will vanish without a trace, and no one will dare to speak out with reason. What's the point of claiming to be a hero? Don't say you didn't see this coming."
Story/D_S0702_01_03_Break_01_187,"The heroes of the Wulin do not abandon their egos, but rather their integrity and original intentions. Yet at this moment, as we flee to save ourselves, we have extinguished the Tang Clan."
Story/D_S0702_01_03_Break_01_186,"But who can avoid the court's enemies? If you cannot overpower them, shouldn't you yield? You might as well not provoke them. Why be so stubborn and insist on a direct conflict with the Wulin Alliance."
Story/D_S0702_01_03_Break_01_185,It's not possible
Story/D_S0702_01_03_Break_01_184,"Just by chance, this time it's one of our own who is suffering injustice. Can we not do something about it? After all, we are human too."
Story/D_S0702_01_03_Break_01_183,"Now, the tasks to be done are not much different from before. Cultivate strength to support the weak, punish evil and protect the good, and fight for those who have been wronged but cannot vindicate themselves. This is the responsibility of a great hero!"
Story/D_S0702_01_03_Break_01_182,"This isn't just about the Tang Clan or the Wulin; it's not merely about the balance of heaven and earth. Mainly, it depends on how I feel and whether I'm in a good mood. If my luck is good this time, their interests align with mine."
Story/D_S0702_01_03_Break_01_181,"I have endured the hardships of this world, shaping myself into what I am today. Since I will be wronged and beaten regardless of whether I do bad things, I might as well fulfill the wishes of the masses and play the role of a villain. At least when I am beaten, it won't feel so unjust."
Story/D_S0702_01_03_Break_01_180,……。
Story/D_S0702_01_03_Break_01_179,"I long to be a wanderer like my senior brother, unrestrained and wild, just as I yearn to be like you. Who wouldn't want to live a carefree life with every advantage? But that's not possible. I can't expect your destinies to be mine."
Story/D_S0702_01_03_Break_01_178,Impressions were certainly numerous
Story/D_S0702_01_03_Break_01_177,"So now? You've been through storms and waves yourself, don't you have any feelings about it?"
Story/D_S0702_01_03_Break_01_176,"In truth, traversing the Jianghu reveals that, just like in the village, everyone is eager to become a hero. In fact, there are far more righteous sects in the Wulin than there are villains, yet everyone desires fame, and the demand for villains far exceeds the supply."
Story/D_S0702_01_03_Break_01_175,"Is it a tree? Oh... Wow, it has to be broken too. Anyway, this is a bit excessive."
Story/D_S0702_01_03_Break_01_174,"You're wrong about that. I play the tree, responsible for being broken by a collision."
Story/D_S0702_01_03_Break_01_173,Your face suits a villain perfectly
Story/D_S0702_01_03_Break_01_172,"I was just like you, fascinated by tales of great heroes from a young age. I believed that a great hero had to be martially skilled and stronger than others, with a fearsome reputation and success in everything they did. The stories depicted blades flashing and swords clashing, bringing justice with a sense of righteousness. I often played hero games with the children in the village."
Story/D_S0702_01_03_Break_01_171,You speak quite frankly
Story/D_S0702_01_03_Break_01_170,"...Of course, it's all about showing off one's prowess in the Jianghu. Even good people want to walk with a breeze and swagger without hindering the cause of upholding justice and helping the weak, maintaining peace and order."
Story/D_S0702_01_03_Break_01_169,It might turn out to be pretty important.
Story/D_S0702_01_03_Break_01_168,Is that the question now? Is it important?
Story/D_S0702_01_03_Break_01_167,Why do you want to wander through the Jianghu? What was your original intention?
Story/T_S0702_01_03_Break_01_002,"...A great accomplishment does not hinge on trivial matters. This should have been a matter without hesitation, but in reality, it is not easy for me to turn a friend into an enemy. A'Huo was right; I am indeed overly fussy and indecisive."
Story/D_S0702_01_03_Break_01_166,"Why call me to stop me? Come on, just get to the point, Grandma."
Story/D_S0702_01_03_Break_01_165,"...No, there isn't."
Story/D_S0702_01_03_Break_01_164,Do you have anything else?
Story/D_S0702_01_03_Break_01_163,"──Hold on, A'Huo"
Story/D_S0702_01_03_Break_01_162,"My friend Aseng, take care"
Story/D_S0702_01_03_Break_01_161,"No need to be polite. Well, then I really won't see you off."
Story/D_S0702_01_03_Break_01_160,"The future is uncertain, but in any case, I want to say thanks first."
Story/D_S0702_01_03_Break_01_159,...good.
Story/D_S0702_01_03_Break_01_158,"There's nothing left for me to hold onto in the Tang Clan. If I lose, let's go down together. We can keep each other company in style, no need for you to worry about it."
Story/D_S0702_01_03_Break_01_157,Do you have anyone or anything to see me off?
Story/D_S0702_01_03_Break_01_156,Understood. I will definitely see it through.
Story/D_S0702_01_03_Break_01_155,Don't make her any more difficult than she already is; she should be tired.
Story/D_S0702_01_03_Break_01_154,"I have heard from my cousin that Lady Wei is indeed a rare talent, capable of serving as a king's counselor in the court."
Story/D_S0702_01_03_Break_01_153,"Xiao Ju is a talented and broad‑minded lady whom I could never hope to match. If I were to pass away, she would return to Gengyang to study in the Reading Studio, practicing ning geng yu du ‑ farming on sunny days and reading on rainy ones. Please escort her back there then."
Story/D_S0702_01_03_Break_01_152,This should not be a problem
Story/D_S0702_01_03_Break_01_151,"If none of the above situations occur, please provide her with a large estate for her retirement."
Story/D_S0702_01_03_Break_01_150,I can't be bothered with that
Story/D_S0702_01_03_Break_01_149,"I actually don't know what my master is thinking. She might go to kill you for revenge, or she might personally follow me down to the Yellow Springs herself. Who would have thought she's the Soul Stealer Youlan?"
Story/D_S0702_01_03_Break_01_148,"Sure, give it to me"
Story/D_S0702_01_03_Break_01_147,"If I leave, Little Bamboo will surely be very lonely, but she is a talented and extraordinary woman. If possible, use the Alliance Leader's power to help her fulfill her dreams‑whether it be becoming a swordsmith or a carpenter."
Story/D_S0702_01_03_Break_01_146,I try not to be killed
Story/D_S0702_01_03_Break_01_145,"You must be careful; she knows the art of disguise and can be ruthless, showing no mercy to family or friends."
Story/D_S0702_01_03_Break_01_144,That's truly terrifying to listen to
Story/D_S0702_01_03_Break_01_143,"You must watch out for Xiao Mei; she will certainly try to assassinate you, with no intention of giving up."
Story/D_S0702_01_03_Break_01_142,"I have a connection with Jinxiang Palace, and including Dragon Miss, I will certainly protect them all."
Story/D_S0702_01_03_Break_01_141,"If I were to die, Xiangzi might be greatly distressed, and she might no longer be able to wield a sword. At that time, please use your power as the Alliance Leader to send her back to Jinxiang Palace, and do not allow her to roam the Jianghu anymore; it would only lead to trouble."
Story/D_S0702_01_03_Break_01_140,"Good, I can handle this"
Story/D_S0702_01_03_Break_01_139,"Fenggou was quite resilient; I estimated that she would shed no more than two tears for me before recovering. Ahsheng, you must stop Lord Shangguan from marrying her off haphazardly again."
Story/D_S0702_01_03_Break_01_138,There's this persistent feeling that something tricky is going to happen.
Story/D_S0702_01_03_Break_01_137,"Yunshang likes sweet foods, but don't give her too much. She enjoys collecting jewelry, but there's no need to indulge her excessively. Now that her chronic illness has healed, but she still has a weak constitution and needs extra care. Also, she loves playing pranks on others, sometimes going overboard, so you must have patience and not get angry."
